회사명,종목코드,업종,주요제품
지엔씨에너지,119850,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","비상발전기, 소형열병합발전설비, 바이오가스발전설비"
아미코젠,092040,기타 식품 제조업,제약용 특수효소 및 효소기반 바이오신소재
GH신소재,130500,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼"
파이오링크,170790,통신 및 방송 장비 제조업,"ADC(서버부하 분산장치), 보안스위치, 웹방화벽"
KG ETS,151860,폐기물 처리업,"집단에너지(스팀), 산화동, 폐기물 소각"
나스미디어,089600,광고업,광고매체 판매
엑세스바이오,950130,의료용품 및 기타 의약관련제품 제조업,"말라리아 진단키트(RDT), HIV 진단키트(RDT)"
레고켐바이오,141080,자연과학 및 공학 연구개발업,신약후보물질 발굴을 통한 License-Out
인터불스,158310,특수 목적용 기계 제조업,"FPCB 공정 자동화 장비(가이드홀펀처, 비젼프레스, 커버레이가접기 등)"
윈팩,097800,반도체 제조업,반도체 패키징 및 테스트
코렌텍,104540,의료용 기기 제조업,"인공고관절, 인공슬관절 등"
제로투세븐,159580,가정용품 도매업,유아동복 및 용품
지디,155960,전자부품 제조업,디스플레이 패널 식각 서비스
아이원스,114810,특수 목적용 기계 제조업,"반도체 장비 부품 제조 및 세정, LCD 장비 부품 제조"
우리이앤엘,153490,반도체 제조업,LED 패키지
아이센스,099190,의료용 기기 제조업,"혈당측정스트립, 혈당측정기기 등"
포티스,141020,무점포 소매업,셋톱박스
스킨앤스킨,159910,기초화학물질 제조업,"화장품제조,OLED발광소재, OLED승화정제장비"
SBI액시즈,950110,소프트웨어 개발 및 공급업,전자결제대행서비스(PG서비스)
우리로,046970,통신 및 방송 장비 제조업,"광분배기(웨이퍼, 칩, 모듈), 광다이오드"
디젠스,113810,자동차 부품 제조업,자동차용 소음기(머플러)
맥스로텍,141070,특수 목적용 기계 제조업,갠트리로봇 공장자동화시스템
와이엠씨,155650,전자부품 제조업,"FPD 패널용 Target, Backing Plate 등"
아바텍,149950,전자부품 제조업,"Glass Slimming & ITO코팅 제품, PDP필터"
코이즈,121850,플라스틱제품 제조업,"보호필름, 도광판, 백코팅"
모다,149940,통신 및 방송 장비 제조업,무선 데이터 통신 단말기
나노스,151910,"안경, 사진장비 및 기타 광학기기 제조업","Blue Filter, IR Filter, Camera Module"
엠씨넥스,097520,영상 및 음향기기 제조업,휴대폰용자동차용 카메라모듈
네이블커뮤니케이션즈,153460,소프트웨어 개발 및 공급업,"유무선융합 인프라, 클라이언트 및 All-IP 통신보안"
디지탈옵틱,106520,"안경, 사진장비 및 기타 광학기기 제조업",휴대폰 및 차량용 카메라렌즈
피엔티,137400,특수 목적용 기계 제조업,2차전지 및 전자소재용 Roll-to-Roll 장비
비아트론,141000,특수 목적용 기계 제조업,AMOLED 등 제조장비
빛샘전자,072950,전자부품 제조업,"전광판용 LED 모듈, LED 전광판, 광접속함체"
사람인에이치알,143240,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업","온라인 채용광고(취업포털), 인재파견, 취업지원 등"
뉴로스,126870,일반 목적용 기계 제조업,터보블로워
제룡산업,147830,"구조용 금속제품, 탱크 및 증기발생기 제조업",송배전 금구류 및 합성수지 제품
남화토건,091590,건물 건설업,"건축공사, 토목공사"
메지온,140410,자연과학 및 공학 연구개발업,"발기부전증치료제, 전립선비대증치료제"
원익머트리얼즈,104830,기초화학물질 제조업,"저메인가스,디실란,아산화질소,암모니아 등"
디엔에이링크,127120,자연과학 및 공학 연구개발업,"유전체분석(EGIS), 개인유전체분석(DNAGPS)"
나이스디앤비,130580,기타 사업지원 서비스업,기업신용조사 보고서
시큐브,131090,소프트웨어 개발 및 공급업,"시스템보안관리솔루션, 정보유출방지솔루션"
서암기계공업,100660,일반 목적용 기계 제조업,"공작기계부품(정밀기어,척),산업기계 제조부동산 임대"
씨유메디칼,115480,의료용 기기 제조업,심장제세동기
사파이어테크놀로지,123260,반도체 제조업,사파이어 잉곳
넥스트리밍,139670,소프트웨어 개발 및 공급업,"NexMFW, NexPlayer EMB"
비덴트,121800,통신 및 방송 장비 제조업,방송용 LCD모니터
에스에프씨,112240,플라스틱제품 제조업,"태양광 모듈용 백시트, 라미네이팅 필름"
신진에스엠,138070,기타 금속가공제품 제조업,표준 플레이트
이엠넷,123570,광고업,온라인 검색광고 대행
와이지엔터테인먼트,122870,오디오물 출판 및 원판 녹음업,"음악 및 기타 오디오물 출판, 신인 아티스트 육성 및 매니지먼트"
쎄미시스코,136510,특수 목적용 기계 제조업,"EGIS(유리기판 검사장비), Smart-EPD 및 Smart-HMS(플라즈마 검사장비)"
에이티세미콘,089530,반도체 제조업,반도체 테스트
테크윙,089030,특수 목적용 기계 제조업,"반도체테스트핸들러,C.O.K(Change Over Kit)"
씨큐브,101240,기초화학물질 제조업,진주광택안료
에스엠코어,007820,일반 목적용 기계 제조업,"자동화물류서비스, 자동화공정설비"
씨엔플러스,115530,전자부품 제조업,커넥터
테라세미콘,123100,특수 목적용 기계 제조업,반도체 및 AMOLED 제조용 열처리장비
