name,code,roe,pbr,per
에이치엔티,176440,2.1,1.18,7.55
클리오,237880,3.1,4.96,28.98
오가닉티코스메틱,900300,3.64,1.25,5.27
인크로스,216050,1.71,2.85,19.27
에이치엘사이언스,239610,2.78,2.47,16.85
코스메카코리아,241710,3.3,3.46,25.17
GRT,900290,3.52,1.08,2.67
골든센츄리,900280,4.61,1.24,5.4
앤디포스,238090,2.5,2.08,9.45
수산아이앤티,050960,1.61,0.96,10.02
미투온,201490,1.66,6.24,74.84
유니테크노,241690,5.43,1.96,1.06
자이글,234920,2.29,1.38,9.24
헝셩그룹,900270,2.93,1.17,6.69
에코마케팅,230360,2.56,1.98,18.99
팍스넷,038160,1.13,1.67,16.81
우리손에프앤지,073560,4.3,1.26,11.14
피앤씨테크,237750,1.55,1.38,11.33
로스웰,900260,1.78,1.22,6.3
녹십자랩셀,144510,1.74,5.84,109.47
에스티팜,237690,4.27,2.5,11.28
알엔투테크놀로지,148250,3.95,2.69,43.51
휴온스,243070,9.94,3.71,22.54
원익IPS,240810,10.77,5.49,52.81
레이언스,228850,1.74,1.74,18.69
씨엠에스에듀,225330,9.58,3.03,16
동양파일,228340,3.75,1.04,4.98
안트로젠,065660,1.82,5.03,459
유니트론텍,142210,1.56,2.51,11.03
크리스탈신소재,900250,2.68,0.92,7.06
한솔씨앤피,221610,1.95,1.27,8.38
휴젤,145020,6.98,6.29,36.94
한국맥널티,222980,2.56,2.37,23.82
보광산업,225530,1.34,4.99,26.62
예스티,122640,11.42,4.05,68.14
미래테크놀로지,213090,2.09,1.18,13.64
리드,197210,6.44,5.27,202.22
케이디켐,221980,1.37,1.06,8.25
네오오토,212560,2.79,1.02,8.9
더블유게임즈,192080,2.94,2.56,21.57
엑시콘,092870,1.67,1.28,17.38
타이거일렉,219130,2.09,1.1,43.29
인포마크,175140,3.93,2.12,54.55
해마로푸드서비스,220630,6.47,5.18,24.26
에이텍티앤,224110,1.23,1.37,55.29
심텍,222800,1.41,1.42,8.56
쎄노텍,222420,3.16,4.41,50.82
아시아경제,127710,7.67,1.4,15.91
아이쓰리시스템,214430,2.2,2.67,20.18
로지시스,067730,1.86,2.65,74.76
파마리서치프로덕트,214450,2.69,2.23,27.74
민앤지,214180,5.18,3.44,21.83
베셀,177350,1.02,1.7,17.02
싸이맥스,160980,7.1,1.95,18.19
제노포커스,187420,1.11,3.38,112.64
우리산업,215360,2.18,4.56,23.18
골프존,215000,8.74,3.22,10.63
덕산네오룩스,213420,3.28,5.56,128.97
국일신동,060480,1.82,0.96,104.43
바디텍메드,206640,2.79,5.78,34.65
휴메딕스,200670,2.16,2.6,28.12
디티앤씨,187220,1.6,1.37,40.58
비씨월드제약,200780,2.65,2.22,26.39
미스터블루,207760,4.04,3.05,19.97
SKC코오롱PI,178920,3.72,2.76,30.04
테고사이언스,191420,1.08,12.83,432.69
슈피겐코리아,192440,1.86,1.38,6.98
영우디에스피,143540,3.35,2.71,8.97
메디아나,041920,1.96,2.84,15.38
신화콘텍,187270,6.97,1.63,162.27
파버나인,177830,2.75,1.25,18.87
아진엑스텍,059120,4.66,2.42,59.07
콜마비앤에이치,200130,6.77,4.88,20.87
인터파크,108790,3.56,2.31,161.97
한국정보인증,053300,2.62,2.92,31.65
현대공업,170030,3.45,0.87,5.36
엔브이에이치코리아,067570,4.23,0.67,3.34
테스나,131970,2.04,2.25,182.41
지엔씨에너지,119850,2.57,1.31,12.31
GH신소재,130500,1.29,1.04,12.98
KG ETS,151860,2.88,1.05,29.64
나스미디어,089600,5.45,4.57,36.23
아이원스,114810,1.77,2.02,61.25
아이센스,099190,1.57,2.56,21.84
SBI액시즈,950110,3.74,3,20.95
와이엠씨,155650,6.16,3.29,18.87
아바텍,149950,3.45,0.96,14.9
피엔티,137400,1.01,1.84,35.96
사람인에이치알,143240,3.54,2.84,21.21
제룡산업,147830,1.26,1.89,9.91
남화토건,091590,1.14,0.61,13.05
원익머트리얼즈,104830,2.66,2.24,30.83
나이스디앤비,130580,2.84,3.03,18.11
신진에스엠,138070,2.64,1.36,83.57
이엠넷,123570,2.97,1.25,21.69
와이지엔터테인먼트,122870,2.56,1.95,28.2
쎄미시스코,136510,1.21,1.91,33.64
테크윙,089030,10.65,2.16,15.5
씨큐브,101240,1.52,1.33,13.42
테라세미콘,123100,12.08,2.75,15.44
케이맥,043290,1.79,2.2,13.19
로보스타,090360,6.65,4.04,26.22
피앤이솔루션,131390,2.2,2.33,22.33
아이씨디,040910,6.93,2,22.26
옵티시스,109080,1.21,1.13,17.54
대양전기공업,108380,1.66,0.75,8.03
완리,900180,1.54,0.33,4.6
KMH,122450,4.48,1.03,5.29
윈스,136540,5.06,1.51,15.49
하림,136480,2.13,1.34,14.68
이퓨쳐,134060,1.11,1.66,160.26
티케이케미칼,104480,3.65,0.86,29
부스타,008470,1.53,0.87,9.12
케이아이엔엑스,093320,2.17,1.27,12.06
딜리,131180,1.69,1.28,17.45
엘비세미콘,061970,1.77,1.42,9.9
다나와,119860,6.25,1.9,14.07
대정화금,120240,1.28,0.92,10.53
피제이메탈,128660,5.59,1.46,22.22
디에이치피코리아,131030,4.87,2.17,14.41
한국전자인증,041460,3.18,3.82,29.2
코프라,126600,1.83,1.53,10.89
선데이토즈,123420,4.15,1.57,12.74
누리플랜,069140,3.65,1.47,13.37
CJ E&M,130960,2.12,1.92,47.85
포메탈,119500,1.81,1.23,26.66
다원시스,068240,1.38,2.72,52.72
와이솔,122990,2.36,2.15,10.83
화신정공,126640,1.52,0.7,15.67
코리아에프티,123410,1.03,1.24,13.18
이글루시큐리티,067920,10.92,1.47,16.01
인터로조,119610,5.04,4.26,20.08
처음앤씨,111820,1.01,1.7,472
실리콘웍스,108320,1.47,1.48,11.14
인피니트헬스케어,071200,2.14,2.53,24.88
삼기오토모티브,122350,3.59,1.01,8.97
인포바인,115310,3.77,0.89,7.89
모베이스,101330,1.52,0.7,4.58
지스마트글로벌,114570,2.3,3.09,19.93
아세아텍,050860,5.06,0.67,16.08
글로벌에스엠,900070,1.21,0.91,19.79
KPX생명과학,114450,2.76,1.15,15.8
에스앤씨엔진그룹,900080,1.46,0.31,4.26
비츠로셀,082920,3.54,2.62,16.74
한스바이오메드,042520,3.4,3.64,38.59
톱텍,108230,12.93,5.29,38.05
동국S&C,100130,1.79,1.46,24.75
게임빌,063080,1.41,1.63,13.13
동일금속,109860,1.06,0.59,17.71
어보브반도체,102120,1.31,1.74,20.85
차이나그레이트,900040,2.83,0.38,3.43
이엔에프테크놀로지,102710,2.78,1.8,11.83
해덕파워웨이,102210,1.06,0.57,38.99
흥국,010240,3.92,1.09,14.96
티플랙스,081150,1.39,0.56,26.27
뷰웍스,100120,2.84,5.1,20.91
대성파인텍,104040,1.14,1.48,15
유비쿼스홀딩스,078070,48.68,0.53,5.51
메디톡스,086900,11.18,20.18,53.74
엠게임,058630,3.4,3.36,24.39
이크레더블,092130,4.11,4.24,16.16
SIMPAC Metal,090730,2.05,0.42,11.84
세운메디칼,100700,3.25,2.39,21.13
월덱스,101160,3.94,1.37,105.92
쎄트렉아이,099320,1.16,3.31,41.84
테스,095610,10.28,3.63,15.81
예스24,053280,2.55,1.68,189.47
메타바이오메드,059210,1.16,1.68,138.79
효성오앤비,097870,4.58,1.27,14.93
에스코넥,096630,3.42,2.08,16.7
서원인텍,093920,1.18,1.33,11.48
디엔에프,092070,4.87,2.32,15.98
일진파워,094820,3.71,1.11,11.11
현우산업,092300,1.05,0.73,14.16
에스에너지,095910,1.15,1.02,36.85
성우전자,081580,2.72,0.77,6.01
오디텍,080520,1.42,0.85,10
ISC,095340,2.6,2.07,31.81
미래나노텍,095500,1.6,0.99,144.77
바이오톡스텍,086040,1.23,4.04,95.56
빅솔론,093190,2.43,0.94,8.83
S&K폴리텍,091340,1.61,0.82,15.4
갤럭시아컴즈,094480,3.72,3.54,51.75
컴투스,078340,5.7,2.36,10.17
동국제약,086450,3.42,2.36,13.95
참좋은레져,094850,3.78,2.38,22.21
코닉글로리,094860,5.06,3.11,55
이베스트투자증권,078020,1.84,1.06,18.27
매커스,093520,3.73,1.46,40.38
네오팜,092730,8.61,6.03,31.7
제이스텍,090470,13.22,5.62,26.97
동아엘텍,088130,2.11,2.21,10.31
휴온스글로벌,084110,1.4,1.24,0.73
케이씨티,089150,1.65,1.47,37.33
디에스티로봇,090710,4.8,9.25,109.57
유니테스트,086390,10.95,3.67,31.67
멀티캠퍼스,067280,2.54,2.73,16.3
이녹스,088390,1.41,3.85,86.99
바텍,043150,36.99,3,17.82
MDS테크,086960,1.98,1.89,19.11
한국전자금융,063570,2.9,2.08,16.91
팬엔터테인먼트,068050,1.69,1.13,67.16
인포뱅크,039290,1.78,1.66,54.78
동우팜투테이블,088910,3.7,0.71,7.91
제이브이엠,054950,1.72,3.03,31.89
정산애강,022220,5.06,2.52,28.76
GST,083450,6.46,1.23,18.46
제우스,079370,1.81,1.06,9.21
한일네트웍스,046110,5.15,1.32,12.91
유진테크,084370,4.2,1.89,12.64
대봉엘에스,078140,3.51,2.2,16.51
와이엔텍,067900,4.09,0.81,12.08
케이엠,083550,1.24,0.75,15.89
수성,084180,1.56,4.87,60.9
모다이노칩,080420,3.16,1.2,10.29
